,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Michael Thomas,163.7,2016,23,NOR,15,12,163.7,255.7,10.91,17.05,WR
2,Tyreek Hill,156,2016,22,KAN,16,1,156,217,9.75,13.56,WR
3,Sterling Shepard,119.4,2016,23,NYG,16,16,119.4,184.4,7.46,11.53,WR
4,Will Fuller,81.2,2016,22,HOU,14,13,81.2,128.2,5.8,9.16,WR
5,Robbie Chosen,72.9,2016,23,NYJ,16,8,72.9,114.9,4.56,7.18,WR
6,Tyler Boyd,70.1,2016,22,CIN,16,2,70.1,124.1,4.38,7.76,WR
7,Tajae Sharpe,64.3,2016,22,TEN,16,10,64.3,105.3,4.02,6.58,WR
8,Malcolm Mitchell,64.1,2016,24,NWE,14,6,64.1,96.1,4.58,6.86,WR
9,Corey Coleman,60.3,2016,22,CLE,10,10,60.3,93.3,6.03,9.33,WR
10,Geronimo Allison,32.2,2016,22,GNB,10,2,32.2,44.2,3.22,4.42,WR
11,Chester Rogers,27.3,2016,22,IND,14,2,27.3,46.3,1.95,3.31,WR
12,Charone Peake,24.6,2016,24,NYJ,15,1,24.6,43.6,1.64,2.91,WR
13,Jalin Marshall,24.2,2016,21,NYJ,10,1,24.2,38.2,2.42,3.82,WR
14,Roger Lewis,21.7,2016,23,NYG,13,1,21.7,28.7,1.67,2.21,WR
15,Ricardo Louis,20.5,2016,22,CLE,16,3,20.5,38.5,1.28,2.41,WR
16,Cody Core,20,2016,22,CIN,8,4,20,37,2.5,4.63,WR
17,Kevin White,19.6,2016,24,CHI,4,4,19.6,38.6,4.9,9.65,WR
18,Braxton Miller,15.9,2016,24,HOU,10,6,15.9,30.9,1.59,3.09,WR
19,Paul Turner,12.6,2016,23,PHI,4,2,12.6,21.6,3.15,5.4,WR
20,Chris Moore,12.5,2016,23,BAL,15,0,12.5,19.5,0.83,1.3,WR
21,Demarcus Ayers,10.1,2016,22,PIT,2,1,10.1,16.1,5.05,8.05,WR
22,Leonte Carroo,8.9,2016,22,MIA,14,2,8.9,11.9,0.64,0.85,WR
23,Tommylee Lewis,8.7,2016,24,NOR,12,1,8.7,15.7,0.73,1.31,WR
24,Bryce Treggs,8.7,2016,22,PHI,9,1,8.7,11.7,0.97,1.3,WR
25,Pharoh Cooper,8.6,2016,21,LAR,10,3,8.6,22.6,0.86,2.26,WR
26,Rashard Higgins,7.7,2016,22,CLE,16,0,7.7,13.7,0.48,0.86,WR
27,Wendall Williams,7.5,2016,26,HOU,3,0,7.5,11.5,2.5,3.83,WR
28,Alex Erickson,7.1,2016,24,CIN,16,0,7.1,13.1,0.44,0.82,WR
29,Aaron Burbridge,6.8,2016,23,SFO,16,3,6.8,13.8,0.43,0.86,WR
30,Josh Doctson,6.6,2016,24,WAS,2,0,6.6,8.6,3.3,4.3,WR
31,Maurice Harris,6.6,2016,24,WAS,10,0,6.6,14.6,0.66,1.46,WR
32,Trevor Davis,6.4,2016,23,GNB,11,0,6.4,9.4,0.58,0.85,WR
33,Johnny Holton,5.7,2016,26,OAK,15,0,5.7,7.7,0.38,0.51,WR
34,Ifeanyi Momah,5,2016,27,ARI,5,1,5,7,1,1.4,WR
35,Jakeem Grant,4.1,2016,24,MIA,16,0,4.1,4.1,0.26,0.26,WR
36,D.J. Foster,2.6,2016,23,NWE,3,0,2.6,3.6,0.87,1.2,WR
37,Shane Wynn,2.4,2016,24,JAX,5,0,2.4,3.4,0.48,0.68,WR
38,DeAndre Smelter,2.3,2016,25,SFO,2,0,2.3,3.3,1.15,1.65,WR
39,Mike Thomas,1.7,2016,22,LAR,15,0,1.7,4.7,0.11,0.31,WR
40,Laquon Treadwell,1.5,2016,21,MIN,9,1,1.5,2.5,0.17,0.28,WR
41,Paul McRoberts,0.6,2016,24,LAR,2,0,0.6,1.6,0.3,0.8,WR
42,George Farmer,0.5,2016,23,SEA,2,0,0.5,1.5,0.25,0.75,WR
43,Jordan Payton,0.3,2016,23,CLE,4,0,0.3,1.3,0.08,0.33,WR
44,Bralon Addison,-0.5,2016,23,CHI,2,0,-0.5,0.5,-0.25,0.25,WR
45,Daniel Braverman,,2016,23,CHI,3,0,,,,,WR
46,Isaac Fruechte,,2016,25,MIN,1,0,,,,,WR
47,Jake Lampman,,2016,23,NOR,6,0,,,,,WR
48,Kalif Raymond,,2016,22,DEN,4,0,,,,,WR
49,Demarcus Robinson,,2016,22,KAN,16,0,,,,,WR
50,Rashawn Scott,,2016,24,MIA,2,0,,,,,WR
51,Tevaun Smith,,2016,23,IND,2,0,,,,,WR
52,Herb Waters,,2016,24,GNB,0,0,,,,,WR
