,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Justin Jefferson,186.2,2020,21,MIN,16,14,186.2,274.2,11.64,17.14,WR
2,Chase Claypool,152.9,2020,22,PIT,16,6,152.9,214.9,9.56,13.43,WR
3,CeeDee Lamb,143.7,2020,21,DAL,16,14,143.7,217.7,8.98,13.61,WR
4,Tee Higgins,127.6,2020,21,CIN,16,14,127.6,194.6,7.98,12.16,WR
5,Brandon Aiyuk,124.5,2020,22,SFO,12,11,124.5,184.5,10.38,15.38,WR
6,Jerry Jeudy,105.6,2020,21,DEN,16,14,105.6,157.6,6.6,9.85,WR
7,Gabriel Davis,101.9,2020,21,BUF,16,11,101.9,136.9,6.37,8.56,WR
8,Laviska Shenault Jr.,99.1,2020,22,JAX,14,12,99.1,157.1,7.08,11.22,WR
9,Darnell Mooney,91.1,2020,23,CHI,16,9,91.1,152.1,5.69,9.51,WR
10,KJ Hamler,60.1,2020,21,DEN,13,4,60.1,90.1,4.62,6.93,WR
11,Michael Pittman Jr.,58.9,2020,23,IND,13,8,58.9,98.9,4.53,7.61,WR
12,Henry Ruggs III,58.1,2020,21,LVR,13,12,58.1,84.1,4.47,6.47,WR
13,Jalen Reagor,56.2,2020,21,PHI,11,11,56.2,87.2,5.11,7.93,WR
14,Quintez Cephus,46.9,2020,22,DET,13,2,46.9,66.9,3.61,5.15,WR
15,Donovan Peoples-Jones,44.4,2020,21,CLE,12,2,44.4,58.4,3.7,4.87,WR
16,Collin Johnson,41.2,2020,23,JAX,14,0,41.2,59.2,2.94,4.23,WR
17,Denzel Mims,37.7,2020,23,NYJ,9,8,37.7,60.7,4.19,6.74,WR
18,Devin Duvernay,33.1,2020,23,BAL,16,3,33.1,53.1,2.07,3.32,WR
19,Tyler Johnson,28.9,2020,22,TAM,14,3,28.9,40.9,2.06,2.92,WR
20,Van Jefferson,27.9,2020,24,LAR,16,0,27.9,46.9,1.74,2.93,WR
21,Freddie Swain,27.9,2020,22,SEA,16,1,27.9,40.9,1.74,2.56,WR
22,Lynn Bowden Jr.,25.6,2020,23,MIA,10,4,25.6,53.6,2.56,5.36,WR
23,Bryan Edwards,25.3,2020,22,LVR,12,3,25.3,36.3,2.11,3.03,WR
24,Marquez Callaway,21.3,2020,22,NOR,11,3,21.3,42.3,1.94,3.85,WR
25,Isaiah Wright,19.3,2020,23,WAS,14,6,19.3,46.3,1.38,3.31,WR
26,John Hightower,18.8,2020,24,PHI,13,4,18.8,28.8,1.45,2.22,WR
27,Quez Watkins,16.6,2020,22,PHI,6,0,16.6,23.6,2.77,3.93,WR
28,Malcolm Perry,15.7,2020,23,MIA,9,2,15.7,24.7,1.74,2.74,WR
29,DeMichael Harris,12.5,2020,22,IND,7,0,12.5,22.5,1.79,3.21,WR
30,Austin Mack,9.1,2020,23,NYG,11,1,9.1,16.1,0.83,1.46,WR
31,Joe Reed,8.9,2020,22,LAC,11,0,8.9,8.9,0.81,0.81,WR
32,Tyrie Cleveland,6.3,2020,23,DEN,10,0,6.3,12.3,0.63,1.23,WR
33,Ja'Marcus Bradley,6,2020,24,CLE,3,1,6,11,2,3.67,WR
34,Nick Westbrook-Ikhine,5.3,2020,23,TEN,14,1,5.3,8.3,0.38,0.59,WR
35,Isaiah Zuber,5,2020,23,NWE,4,0,5,7,1.25,1.75,WR
36,Juwan Johnson,3.9,2020,24,NOR,7,4,3.9,7.9,0.56,1.13,WR
37,Lawrence Cager,3.5,2020,23,NYJ,2,1,3.5,5.5,1.75,2.75,WR
38,Antonio Gandy-Golden,2.5,2020,22,WAS,6,2,2.5,3.5,0.42,0.58,WR
39,James Proche,1.4,2020,24,BAL,14,0,1.4,2.4,0.1,0.17,WR
40,Kendall Hinton,-2.8,2020,23,DEN,1,0,-2.8,-2.8,-2.8,-2.8,WR
41,Tony Brown,,2020,23,WAS,1,0,,,,,WR
42,Dan Chisena,,2020,23,MIN,14,0,,,,,WR
43,Matt Cole,,2020,24,SFO,1,0,,,,,WR
44,Isaiah Coulter,,2020,22,HOU,1,0,,,,,WR
45,Kirk Merritt,,2020,23,MIA,1,0,,,,,WR
46,K.J. Osborn,,2020,23,MIN,9,0,,,,,WR
47,Dezmon Patmon,,2020,22,IND,1,0,,,,,WR
48,Chris Rowland,,2020,23,ATL,2,0,,,,,WR
49,Jayson Stanley,,2020,23,SEA,8,0,,,,,WR
50,Kristian Wilkerson,,2020,23,NWE,1,0,,,,,WR
