,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,A.J. Green,153,2011,23,CIN,15,15,153,218,10.2,14.53,WR
2,Julio Jones,147.5,2011,22,ATL,13,13,147.5,201.5,11.35,15.5,WR
3,Torrey Smith,130,2011,22,BAL,16,14,130,180,8.13,11.25,WR
4,Denarius Moore,103.9,2011,23,OAK,13,10,103.9,136.9,7.99,10.53,WR
5,Doug Baldwin,102.6,2011,23,SEA,16,1,102.6,153.6,6.41,9.6,WR
6,Titus Young,100.2,2011,22,DET,16,9,100.2,148.2,6.26,9.26,WR
7,Greg Little,84.4,2011,22,CLE,16,12,84.4,145.4,5.28,9.09,WR
8,Randall Cobb,50,2011,21,GNB,15,0,50,75,3.33,5,WR
9,Dane Sanzenbacher,45.2,2011,23,CHI,16,1,45.2,72.2,2.83,4.51,WR
10,Vincent Brown,44.9,2011,22,SDG,14,4,44.9,63.9,3.21,4.56,WR
11,Jeremy Kerley,39.8,2011,23,NYJ,14,1,39.8,68.8,2.84,4.91,WR
12,Jonathan Baldwin,31.4,2011,22,KAN,11,3,31.4,52.4,2.85,4.76,WR
13,Chastin West,28.3,2011,24,JAX,12,1,28.3,41.3,2.36,3.44,WR
14,Greg Salas,25.2,2011,23,STL,6,0,25.2,52.2,4.2,8.7,WR
15,Austin Pettis,25,2011,23,STL,12,3,25,52,2.08,4.33,WR
16,Leonard Hankerson,18.3,2011,22,WAS,4,2,18.3,31.3,4.58,7.83,WR
17,Ricardo Lockette,16.5,2011,25,SEA,2,0,16.5,18.5,8.25,9.25,WR
18,Cecil Shorts,9,2011,24,JAX,10,0,9,11,0.9,1.1,WR
19,LaQuan Williams,4.6,2011,23,BAL,12,0,4.6,8.6,0.38,0.72,WR
20,Stephen Burton,3.8,2011,22,MIN,3,0,3.8,5.8,1.27,1.93,WR
21,DeMarco Sampson,3.6,2011,26,ARI,12,0,3.6,6.6,0.3,0.55,WR
22,Niles Paul,3.2,2011,22,WAS,13,2,3.2,5.2,0.25,0.4,WR
23,Kris Durham,3,2011,23,SEA,3,0,3,6,1,2,WR
24,Ryan Whalen,2.7,2011,22,CIN,4,0,2.7,6.7,0.68,1.68,WR
25,Clyde Gates,2.3,2011,25,MIA,15,0,2.3,4.3,0.15,0.29,WR
26,David Ausberry,1.2,2011,24,OAK,12,0,1.2,3.2,0.1,0.27,WR
27,Emmanuel Arceneaux,1,2011,24,MIN,3,0,1,2,0.33,0.67,WR
28,Darvin Adams,,2011,21,CAR,2,0,,,,,WR
29,Kamar Aiken,,2011,22,BUF,2,0,,,,,WR
30,Kevin Cone,,2011,23,ATL,1,0,,,,,WR
31,Tandon Doss,,2011,22,BAL,6,0,,,,,WR
32,Collin Franklin,,2011,23,TAM,2,0,,,,,WR
33,D'Andre Goodwin,,2011,24,DEN,0,0,,,,,WR
34,Dwayne Harris,,2011,24,DAL,7,0,,,,,WR
35,Joe Hastings,,2011,24,SFO,1,0,,,,,WR
36,Jerrel Jernigan,,2011,22,NYG,8,0,,,,,WR
37,Jeff Maehl,,2011,22,HOU,3,0,,,,,WR
38,Kerry Meier,,2011,25,ATL,12,0,,,,,WR
39,Jamar Newsome,,2011,24,JAX,2,0,,,,,WR
40,Kealoha Pilares,,2011,23,CAR,12,0,,,,,WR
41,Julius Pruitt,,2011,26,MIA,9,0,,,,,WR
42,Eron Riley,,2011,24,NYJ,1,0,,,,,WR
