,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Garrett Wilson,132.7,2022,22,NYJ,17,12,132.7,215.7,7.81,12.69,WR
2,Chris Olave,126.2,2022,22,NOR,15,9,126.2,198.2,8.41,13.21,WR
3,Christian Watson,123.1,2022,23,GNB,14,11,123.1,164.1,8.79,11.72,WR
4,George Pickens,114.5,2022,21,PIT,17,12,114.5,166.5,6.74,9.79,WR
5,Drake London,106.6,2022,21,ATL,17,15,106.6,178.6,6.27,10.51,WR
6,Jahan Dotson,95.6,2022,22,WAS,12,10,95.6,130.6,7.97,10.88,WR
7,Rashid Shaheed,72.5,2022,24,NOR,12,6,72.5,100.5,6.04,8.38,WR
8,Alec Pierce,71.3,2022,22,IND,16,12,71.3,112.3,4.46,7.02,WR
9,Treylon Burks,61.1,2022,22,TEN,11,6,61.1,94.1,5.55,8.55,WR
10,Romeo Doubs,59.6,2022,22,GNB,13,7,59.6,101.6,4.58,7.82,WR
11,Tyquan Thornton,44.3,2022,22,NWE,13,9,44.3,66.3,3.41,5.1,WR
12,Wan'Dale Robinson,28.6,2022,21,NYG,6,3,28.6,51.6,4.77,8.6,WR
13,Velus Jones Jr.,27,2022,25,CHI,12,2,27,34,2.25,2.83,WR
14,Khalil Shakir,24.1,2022,22,BUF,14,2,24.1,34.1,1.72,2.44,WR
15,Jalen Nailor,23.9,2022,23,MIN,15,0,23.9,32.9,1.59,2.19,WR
16,David Bell,21.4,2022,22,CLE,16,3,21.4,45.4,1.34,2.84,WR
17,Skyy Moore,21.4,2022,22,KAN,16,3,21.4,43.4,1.34,2.71,WR
18,Samori Toure,14.2,2022,24,GNB,11,2,14.2,19.2,1.29,1.75,WR
19,Jameson Williams,14.1,2022,21,DET,6,0,14.1,15.1,2.35,2.52,WR
20,Jalen Virgil,11.5,2022,24,DEN,9,1,11.5,13.5,1.28,1.5,WR
21,Brandon Johnson,8.2,2022,24,DEN,7,1,8.2,14.2,1.17,2.03,WR
22,Deven Thompkins,5.8,2022,23,TAM,5,1,5.8,10.8,1.16,2.16,WR
23,Michael Woods II,4,2022,22,CLE,10,0,4,9,0.4,0.9,WR
24,Kyle Philips,3.8,2022,23,TEN,4,0,3.8,11.8,0.95,2.95,WR
25,Daylen Baldwin,2.5,2022,23,CLE,1,0,2.5,4.5,2.5,4.5,WR
26,Dareke Young,2.4,2022,23,SEA,13,0,2.4,4.4,0.18,0.34,WR
27,Danny Gray,1.9,2022,23,SFO,13,0,1.9,2.9,0.15,0.22,WR
28,Dennis Houston,1.6,2022,23,DAL,2,0,1.6,3.6,0.8,1.8,WR
29,Jalen Tolbert,1.2,2022,23,DAL,8,1,1.2,3.2,0.15,0.4,WR
30,Montrell Washington,1.2,2022,23,DEN,15,1,1.2,5.2,0.08,0.35,WR
31,Erik Ezukanma,0.3,2022,22,MIA,1,0,0.3,1.3,0.3,1.3,WR
32,Braylon Sanders,-0.3,2022,23,MIA,3,0,-0.3,1.7,-0.1,0.57,WR
33,Josh Ali,,2022,23,ATL,2,0,,,,,WR
34,Jared Bernhardt,,2022,25,ATL,2,0,,,,,WR
35,Stanley Berryhill,,2022,24,DET,4,0,,,,,WR
36,Britain Covey,,2022,25,PHI,17,0,,,,,WR
37,Ethan Fernea,,2022,24,IND,1,0,,,,,WR
38,Kaylon Geiger,,2022,25,TAM,3,0,,,,,WR
39,Johnny Johnson,,2022,23,HOU,1,0,,,,,WR
40,Kwamie Lassiter II,,2022,24,CIN,1,0,,,,,WR
41,Tay Martin,,2022,25,SFO,2,0,,,,,WR
42,Lance McCutcheon,,2022,23,LAR,10,1,,,,,WR
43,Kyric McGowan,,2022,23,WAS,2,0,,,,,WR
44,Raleigh Webb,,2022,25,"NWE,BAL",12,0,,,,,WR
