,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Amari Cooper,140.7,2015,21,OAK,16,15,140.7,212.7,8.79,13.29,WR
2,Tyler Lockett,114.4,2015,23,SEA,16,8,114.4,165.4,7.15,10.34,WR
3,Willie Snead,114.4,2015,23,NOR,15,8,114.4,183.4,7.63,12.23,WR
4,Stefon Diggs,97.3,2015,22,MIN,13,9,97.3,149.3,7.48,11.48,WR
5,Dorial Green-Beckham,80.9,2015,22,TEN,16,5,80.9,112.9,5.06,7.06,WR
6,Seth Roberts,80,2015,24,OAK,16,5,80,112,5,7,WR
7,Devin Funchess,75.3,2015,21,CAR,16,5,75.3,106.3,4.71,6.64,WR
8,Jamison Crowder,74.6,2015,22,WAS,16,6,74.6,133.6,4.66,8.35,WR
9,DeVante Parker,67.4,2015,22,MIA,14,4,67.4,93.4,4.81,6.67,WR
10,Brandon Coleman,57.4,2015,23,NOR,16,4,57.4,87.4,3.59,5.46,WR
11,JJ Nelson,39.9,2015,23,ARI,11,2,39.9,50.9,3.63,4.63,WR
12,Jeremy Butler,36.3,2015,24,BAL,8,0,36.3,67.3,4.54,8.41,WR
13,Jaelen Strong,34.1,2015,21,HOU,10,1,34.1,48.1,3.41,4.81,WR
14,Nelson Agholor,32.3,2015,22,PHI,13,12,32.3,55.3,2.48,4.25,WR
15,Adam Humphries,32,2015,22,TAM,13,0,32,59,2.46,4.54,WR
16,Phillip Dorsett,28.2,2015,22,IND,11,0,28.2,46.2,2.56,4.2,WR
17,Rashad Greene,27.3,2015,23,JAX,9,0,27.3,46.3,3.03,5.14,WR
18,Ty Montgomery,27,2015,22,GNB,6,3,27,42,4.5,7,WR
19,Chris Conley,25.9,2015,23,KAN,16,5,25.9,42.9,1.62,2.68,WR
20,Bennie Fowler,20.3,2015,24,DEN,16,1,20.3,36.3,1.27,2.27,WR
21,Justin Hardy,19.4,2015,24,ATL,9,1,19.4,40.4,2.16,4.49,WR
22,Donteea Dye,19.2,2015,22,TAM,10,5,19.2,30.2,1.92,3.02,WR
23,Javontee Herndon,18.8,2015,24,SDG,8,2,18.8,42.8,2.35,5.35,WR
24,Devin Smith,15.5,2015,23,NYJ,10,3,15.5,24.5,1.55,2.45,WR
25,Tyrell Williams,15,2015,23,SDG,7,0,15,17,2.14,2.43,WR
26,Keith Mumphery,12.9,2015,23,HOU,16,3,12.9,26.9,0.81,1.68,WR
27,Cameron Meredith,12,2015,23,CHI,11,0,12,23,1.09,2.09,WR
28,Darius Jennings,11.7,2015,23,CLE,4,1,11.7,25.7,2.93,6.43,WR
29,Jared Abbrederis,11.1,2015,25,GNB,10,0,11.1,20.1,1.11,2.01,WR
30,Lucky Whitehead,10.3,2015,23,DAL,15,1,10.3,16.3,0.69,1.09,WR
31,Tre McBride,7.6,2015,23,TEN,7,0,7.6,9.6,1.09,1.37,WR
32,Bradley Marquez,6.8,2015,23,STL,16,1,6.8,19.8,0.43,1.24,WR
33,Daniel Brown,6.4,2015,23,BAL,6,1,6.4,12.4,1.07,2.07,WR
34,Kevin Smith,4.3,2015,24,SEA,7,1,4.3,7.3,0.61,1.04,WR
35,Andrew Turzilli,2.5,2015,24,TEN,3,0,2.5,4.5,0.83,1.5,WR
36,Geremy Davis,2.1,2015,23,NYG,10,0,2.1,4.1,0.21,0.41,WR
37,Darren Waller,1.8,2015,23,BAL,6,1,1.8,3.8,0.3,0.63,WR
38,DeAndrew White,1.8,2015,24,SFO,4,0,1.8,3.8,0.45,0.95,WR
39,Mario Alford,1.5,2015,23,CIN,1,0,1.5,2.5,1.5,2.5,WR
40,Chandler Worthy,1.4,2015,22,HOU,3,0,1.4,4.4,0.47,1.47,WR
41,Kasen Williams,1.3,2015,23,SEA,2,0,1.3,2.3,0.65,1.15,WR
42,Sammie Coates,1.1,2015,22,PIT,6,0,1.1,2.1,0.18,0.35,WR
43,Jonathan Krause,1.1,2015,23,PHI,2,0,1.1,3.1,0.55,1.55,WR
44,Ben Edwards,0.9,2015,23,NYG,2,0,0.9,1.9,0.45,0.95,WR
45,Tony Washington,0.8,2015,23,JAX,4,0,0.8,0.8,0.2,0.2,WR
46,Chris Harper,-1.4,2015,22,NWE,5,0,-1.4,-0.4,-0.28,-0.08,WR
47,Quan Bray,,2015,22,IND,9,0,,,,,WR
48,Kaelin Clay,,2015,23,BAL,7,0,,,,,WR
49,Rannell Hall,,2015,22,CLE,1,0,,,,,WR
50,Matt Hazel,,2015,23,MIA,5,1,,,,,WR
51,Seantavius Jones,,2015,23,NOR,3,0,,,,,WR
52,Dezmin Lewis,,2015,23,BUF,1,0,,,,,WR
53,Tony Lippett,,2015,23,MIA,9,0,,,,,WR
54,Vince Mayle,,2015,24,DAL,1,0,,,,,WR
55,Evan Spencer,,2015,22,TAM,1,0,,,,,WR
56,Neal Sterling,,2015,23,JAX,9,0,,,,,WR
