,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Mike Williams,158.4,2010,23,TAM,16,16,158.4,223.4,9.9,13.96,WR
2,Dez Bryant,102.1,2010,22,DAL,12,2,102.1,147.1,8.51,12.26,WR
3,Jacoby Ford,100.5,2010,23,OAK,16,9,100.5,125.5,6.28,7.84,WR
4,Jordan Shipley,78,2010,25,CIN,15,4,78,130,5.2,8.67,WR
5,David Gettis,69,2010,23,CAR,15,13,69,106,4.6,7.07,WR
6,Blair White,65.5,2010,23,IND,13,4,65.5,101.5,5.04,7.81,WR
7,Brandon LaFell,58.8,2010,24,CAR,14,2,58.8,96.8,4.2,6.91,WR
8,Arrelious Benn,55,2010,22,TAM,15,9,55,80,3.67,5.33,WR
9,David Nelson,53.3,2010,24,BUF,15,3,53.3,84.3,3.55,5.62,WR
10,Emmanuel Sanders,47.6,2010,23,PIT,13,1,47.6,75.6,3.66,5.82,WR
11,Andre Roberts,40.7,2010,22,ARI,15,2,40.7,64.7,2.71,4.31,WR
12,Seyi Ajirotutu,38.2,2010,23,SDG,10,0,38.2,51.2,3.82,5.12,WR
13,Dexter McCluster,38,2010,21,KAN,11,7,38,59,3.45,5.36,WR
14,Danario Alexander,36.6,2010,24,STL,8,2,36.6,56.6,4.58,7.08,WR
15,Demaryius Thomas,36.4,2010,23,DEN,10,2,36.4,58.4,3.64,5.84,WR
16,Donald Jones,27.4,2010,23,BUF,15,5,27.4,45.4,1.83,3.03,WR
17,Golden Tate,23.1,2010,22,SEA,11,0,23.1,44.1,2.1,4.01,WR
18,Damian Williams,22.4,2010,22,TEN,16,1,22.4,38.4,1.4,2.4,WR
19,Antonio Brown,20.7,2010,22,PIT,9,0,20.7,36.7,2.3,4.08,WR
20,Chad Hall,20.4,2010,24,PHI,8,1,20.4,31.4,2.55,3.93,WR
21,Marlon Moore,20.4,2010,23,MIA,9,0,20.4,26.4,2.27,2.93,WR
22,Riley Cooper,17.6,2010,23,PHI,13,2,17.6,24.6,1.35,1.89,WR
23,Verran Tucker,17.4,2010,22,KAN,11,2,17.4,23.4,1.58,2.13,WR
24,Dezmon Briscoe,15.3,2010,21,TAM,2,0,15.3,21.3,7.65,10.65,WR
25,Eric Decker,14.6,2010,23,DEN,14,0,14.6,20.6,1.04,1.47,WR
26,Naaman Roosevelt,14.2,2010,23,BUF,6,1,14.2,23.2,2.37,3.87,WR
27,Stephen Williams,10.1,2010,24,ARI,11,3,10.1,19.1,0.92,1.74,WR
28,Max Komar,9.7,2010,23,ARI,8,0,9.7,21.7,1.21,2.71,WR
29,Adrian Arrington,7.9,2010,25,NOR,1,0,7.9,14.9,7.9,14.9,WR
30,Brandon Banks,7.6,2010,23,WAS,13,0,7.6,9.6,0.58,0.74,WR
31,David Reed,7.5,2010,23,BAL,13,0,7.5,7.5,0.58,0.58,WR
32,Roberto Wallace,6.2,2010,24,MIA,12,0,6.2,12.2,0.52,1.02,WR
33,Terrence Austin,4.7,2010,22,WAS,5,0,4.7,7.7,0.94,1.54,WR
34,Mardy Gilyard,4.3,2010,24,STL,11,2,4.3,10.3,0.39,0.94,WR
35,Taylor Price,4.1,2010,23,NWE,1,0,4.1,7.1,4.1,7.1,WR
36,Brandon James,4,2010,23,IND,3,0,4,10,1.33,3.33,WR
37,Nick Miller,4,2010,23,OAK,9,0,4,7,0.44,0.78,WR
38,Carlton Mitchell,0.9,2010,22,CLE,5,0,0.9,0.9,0.18,0.18,WR
39,Paul Hubbard,0.8,2010,25,BUF,1,1,0.8,1.8,0.8,1.8,WR
40,Kyle Williams,0.8,2010,22,SFO,5,0,0.8,1.8,0.16,0.36,WR
41,Manuel Johnson,0.6,2010,24,DAL,2,0,0.6,1.6,0.3,0.8,WR
42,Richard Goodman,0.5,2010,23,SDG,3,0,0.5,1.5,0.17,0.5,WR
43,Duke Calhoun,0.4,2010,23,NYG,9,0,0.4,1.4,0.04,0.16,WR
44,Gary Banks,0.2,2010,29,SDG,2,2,0.2,1.2,0.1,0.6,WR
45,Chris Brooks,,2010,23,IND,1,0,,,,,WR
46,Victor Cruz,,2010,24,NYG,3,0,,,,,WR
47,Dominique Curry,,2010,23,STL,2,0,,,,,WR
48,Britt Davis,,2010,24,DEN,3,0,,,,,WR
49,Jeremy Horne,,2010,24,KAN,3,0,,,,,WR
50,Onrea Jones,,2010,27,ARI,2,0,,,,,WR
51,Marc Mariani,,2010,23,TEN,16,0,,,,,WR
52,John Matthews,,2010,24,JAX,3,0,,,,,WR
53,Taj Smith,,2010,27,IND,5,0,,,,,WR
54,Derrick Townsel,,2010,22,HOU,1,0,,,,,WR
