,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,T.Y. Hilton,137,2012,23,IND,15,1,137,187,9.13,12.47,WR
2,Justin Blackmon,120.8,2012,22,JAX,16,14,120.8,184.8,7.55,11.55,WR
3,Josh Gordon,108.5,2012,21,CLE,16,13,108.5,158.5,6.78,9.91,WR
4,Chris Givens,91,2012,23,STL,15,12,91,133,6.07,8.87,WR
5,Kendall Wright,85,2012,23,TEN,15,5,85,149,5.67,9.93,WR
6,Rod Streater,76.4,2012,24,OAK,16,2,76.4,115.4,4.78,7.21,WR
7,Michael Floyd,66.2,2012,23,ARI,16,3,66.2,111.2,4.14,6.95,WR
8,Joe Morgan,56,2012,24,NOR,14,5,56,66,4,4.71,WR
9,Alshon Jeffery,54.7,2012,22,CHI,10,6,54.7,78.7,5.47,7.87,WR
10,Travis Benjamin,52.4,2012,23,CLE,14,3,52.4,70.4,3.74,5.03,WR
11,Rueben Randle,47.8,2012,21,NYG,16,1,47.8,66.8,2.99,4.18,WR
12,Mohamed Sanu,47.8,2012,23,CIN,9,3,47.8,63.8,5.31,7.09,WR
13,Jarius Wright,44.1,2012,23,MIN,7,1,44.1,66.1,6.3,9.44,WR
14,Stephen Hill,43.2,2012,21,NYJ,11,8,43.2,64.2,3.93,5.84,WR
15,Aldrick Robinson,43.1,2012,24,WAS,15,2,43.1,54.1,2.87,3.61,WR
16,Ryan Broyles,43,2012,24,DET,10,3,43,65,4.3,6.5,WR
17,Armon Binns,31.7,2012,23,"CIN,MIA",11,5,31.7,55.7,2.88,5.06,WR
18,Marvin Jones,30.8,2012,22,CIN,11,5,30.8,48.8,2.8,4.44,WR
19,Brian Quick,27.6,2012,23,STL,15,1,27.6,38.6,1.84,2.57,WR
20,Juron Criner,23.1,2012,23,OAK,12,0,23.1,39.1,1.93,3.26,WR
21,LaVon Brazill,22.6,2012,23,IND,15,0,22.6,33.6,1.51,2.24,WR
22,Lestar Jean,21.1,2012,24,HOU,14,1,21.1,27.1,1.51,1.94,WR
23,Keshawn Martin,19.8,2012,22,HOU,16,1,19.8,29.8,1.24,1.86,WR
24,Rishard Matthews,15.1,2012,23,MIA,8,1,15.1,26.1,1.89,3.26,WR
25,Cole Beasley,12.8,2012,23,DAL,10,0,12.8,27.8,1.28,2.78,WR
26,Kevin Elliott,10.8,2012,24,JAX,13,1,10.8,20.8,0.83,1.6,WR
27,Josh Cooper,10.6,2012,23,CLE,6,0,10.6,18.6,1.77,3.1,WR
28,Drew Davis,10,2012,23,ATL,16,0,10,14,0.63,0.88,WR
29,DeVier Posey,8.4,2012,22,HOU,11,0,8.4,14.4,0.76,1.31,WR
30,Michael Preston,5.9,2012,23,TEN,4,0,5.9,10.9,1.48,2.73,WR
31,Devon Wylie,5.3,2012,24,KAN,6,1,5.3,11.3,0.88,1.88,WR
32,Toney Clemons,4.1,2012,24,JAX,4,0,4.1,7.1,1.03,1.78,WR
33,Jermaine Kearse,3.1,2012,22,SEA,7,1,3.1,6.1,0.44,0.87,WR
34,Deonte Thompson,3.1,2012,23,BAL,6,0,3.1,8.1,0.52,1.35,WR
35,Jarrett Boykin,2.7,2012,23,GNB,10,0,2.7,7.7,0.27,0.77,WR
36,Kris Adams,2.6,2012,25,IND,3,0,2.6,4.6,0.87,1.53,WR
37,Chris Owusu,2.4,2012,22,TAM,5,0,2.4,3.4,0.48,0.68,WR
38,Jordan White,1.3,2012,24,NYJ,3,0,1.3,2.3,0.43,0.77,WR
39,Andre Holmes,1.1,2012,24,DAL,7,0,1.1,3.1,0.16,0.44,WR
40,LaRon Byrd,0.8,2012,23,ARI,4,0,0.8,1.8,0.2,0.45,WR
41,David Gilreath,0.7,2012,24,PIT,3,0,0.7,0.7,0.23,0.23,WR
42,Joe Adams,-4,2012,23,CAR,9,0,-4,-3,-0.44,-0.33,WR
43,Joe Anderson,,2012,24,CHI,3,0,,,,,WR
44,Josh Bellamy,,2012,23,KAN,3,0,,,,,WR
45,Mike Brown,,2012,23,JAX,2,1,,,,,WR
46,David Douglas,,2012,23,TAM,1,0,,,,,WR
47,Marcus Easley,,2012,25,BUF,3,0,,,,,WR
48,Junior Hemingway,,2012,24,KAN,1,0,,,,,WR
49,A.J. Jenkins,,2012,23,SFO,3,0,,,,,WR
50,Marvin McNutt,,2012,23,PHI,4,0,,,,,WR
51,Nathan Palmer,,2012,23,IND,5,0,,,,,WR
52,Jeremy Ross,,2012,24,GNB,5,0,,,,,WR
