,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Dwayne Bowe,129.5,2007,23,KAN,16,15,129.5,199.5,8.09,12.47,WR
2,Calvin Johnson,110.8,2007,22,DET,15,10,110.8,158.8,7.39,10.59,WR
3,Anthony Gonzalez,75.6,2007,23,IND,13,9,75.6,112.6,5.82,8.66,WR
4,James Jones,75.6,2007,23,GNB,16,9,75.6,122.6,4.73,7.66,WR
5,Sidney Rice,67.4,2007,21,MIN,13,4,67.4,98.4,5.18,7.57,WR
6,Ted Ginn Jr.,56.3,2007,22,MIA,16,9,56.3,90.3,3.52,5.64,WR
7,Laurent Robinson,47.7,2007,22,ATL,15,6,47.7,84.7,3.18,5.65,WR
8,Craig Davis,23.7,2007,22,SDG,13,1,23.7,43.7,1.82,3.36,WR
9,John Broussard,18.6,2007,24,JAX,8,0,18.6,22.6,2.33,2.83,WR
10,Aundrae Allison,16.5,2007,21,MIN,11,0,16.5,24.5,1.5,2.23,WR
11,Steve Breaston,16,2007,24,ARI,16,0,16,24,1,1.5,WR
12,Brandon Middleton,13,2007,26,DET,5,0,13,21,2.6,4.2,WR
13,Craphonso Thorpe,13,2007,24,IND,5,0,13,25,2.6,5,WR
14,Yamon Figurs,11.5,2007,24,BAL,14,0,11.5,12.5,0.82,0.89,WR
15,Jacoby Jones,10.8,2007,23,HOU,14,3,10.8,25.8,0.77,1.84,WR
16,Marques Hagans,9.7,2007,25,STL,4,1,9.7,17.7,2.43,4.43,WR
17,Dwayne Jarrett,8.4,2007,21,CAR,7,0,8.4,14.4,1.2,2.06,WR
18,Legedu Naanee,6.9,2007,24,SDG,13,0,6.9,14.9,0.53,1.15,WR
19,Steve Smith,6.3,2007,22,NYG,5,0,6.3,14.3,1.26,2.86,WR
20,Anthony Mix,3.9,2007,24,"NYG,WAS",9,0,3.9,6.9,0.43,0.77,WR
21,Courtney Taylor,3.8,2007,23,SEA,8,0,3.8,8.8,0.48,1.1,WR
22,Chris Davis,3.7,2007,23,TEN,12,0,3.7,8.7,0.31,0.73,WR
23,Ryne Robinson,3.5,2007,23,CAR,16,0,3.5,7.5,0.22,0.47,WR
24,Chris McFoy,1.9,2007,24,OAK,3,0,1.9,2.9,0.63,0.97,WR
25,Matt Willis,1.1,2007,23,BAL,5,0,1.1,2.1,0.22,0.42,WR
26,Johnnie Lee Higgins,1,2007,24,OAK,16,2,1,7,0.06,0.44,WR
27,Chris Davis,0.6,2007,24,NYJ,2,0,0.6,1.6,0.3,0.8,WR
28,Biren Ealy,0.6,2007,23,TEN,4,0,0.6,1.6,0.15,0.4,WR
29,Jason Hill,0.6,2007,22,SFO,5,0,0.6,1.6,0.12,0.32,WR
30,Derek Stanley,0.5,2007,22,STL,3,0,0.5,0.5,0.17,0.17,WR
31,Michael Gasperson,,2007,25,PHI,1,0,,,,,WR
32,Chas Gessner,,2007,26,TAM,1,0,,,,,WR
33,Roy Hall,,2007,24,IND,3,0,,,,,WR
34,Mike Hass,,2007,24,CHI,1,0,,,,,WR
35,Kerry Reed,,2007,23,MIA,1,0,,,,,WR
36,Bobby Sippio,,2007,27,KAN,9,0,,,,,WR
37,Isaiah Stanback,,2007,23,DAL,2,0,,,,,WR
38,Eric Weems,,2007,22,ATL,1,0,,,,,WR
