,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,A.J. Brown,165.1,2019,22,TEN,16,11,165.1,217.1,10.32,13.57,WR
2,Terry McLaurin,133.9,2019,24,WAS,14,14,133.9,191.9,9.56,13.71,WR
3,Deebo Samuel,132.1,2019,23,SFO,15,11,132.1,189.1,8.81,12.61,WR
4,D.K. Metcalf,129.1,2019,22,SEA,16,15,129.1,187.1,8.07,11.69,WR
5,Darius Slayton,122,2019,22,NYG,14,9,122,170,8.71,12.14,WR
6,Diontae Johnson,104.1,2019,23,PIT,16,12,104.1,163.1,6.51,10.19,WR
7,Marquise Brown,100.4,2019,22,BAL,14,11,100.4,146.4,7.17,10.46,WR
8,Mecole Hardman,93.5,2019,21,KAN,16,5,93.5,119.5,5.84,7.47,WR
9,Hunter Renfrow,84.5,2019,24,OAK,13,4,84.5,133.5,6.5,10.27,WR
10,Steven Sims,75.5,2019,22,WAS,16,2,75.5,109.5,4.72,6.84,WR
11,Preston Williams,58.8,2019,22,MIA,8,7,58.8,90.8,7.35,11.35,WR
12,Olabisi Johnson,48,2019,22,MIN,16,6,48,79,3,4.94,WR
13,Miles Boykin,37.8,2019,23,BAL,16,11,37.8,50.8,2.36,3.18,WR
14,Kelvin Harmon,36.9,2019,23,WAS,16,8,36.9,66.9,2.31,4.18,WR
15,Jakobi Meyers,35.9,2019,23,NWE,15,1,35.9,61.9,2.39,4.13,WR
16,Scott Miller,27.6,2019,22,TAM,10,2,27.6,40.6,2.76,4.06,WR
17,N'Keal Harry,27.4,2019,22,NWE,7,5,27.4,39.4,3.91,5.63,WR
18,Andy Isabella,26.4,2019,23,ARI,15,1,26.4,35.4,1.76,2.36,WR
19,KeeSean Johnson,25,2019,23,ARI,10,4,25,46,2.5,4.6,WR
20,Olamide Zaccheaus,23.5,2019,22,ATL,10,0,23.5,26.5,2.35,2.65,WR
21,Byron Pringle,23,2019,26,KAN,16,0,23,35,1.44,2.19,WR
22,JJ Arcega-Whiteside,22.9,2019,22,PHI,16,5,22.9,32.9,1.43,2.06,WR
23,Parris Campbell,20.1,2019,22,IND,7,3,20.1,38.1,2.87,5.44,WR
24,Keelan Doss,13.3,2019,23,OAK,8,2,13.3,24.3,1.66,3.04,WR
25,Jesper Horsted,12.7,2019,22,CHI,6,1,12.7,20.7,2.12,3.45,WR
26,Deon Cain,12.4,2019,23,"IND,PIT",13,6,12.4,21.4,0.95,1.65,WR
27,Deonte Harty,9.5,2019,22,NOR,14,1,9.5,15.5,0.68,1.11,WR
28,Damion Willis,8.2,2019,22,CIN,10,2,8.2,17.2,0.82,1.72,WR
29,Ventell Bryant,7.5,2019,23,DAL,12,0,7.5,8.5,0.63,0.71,WR
30,Riley Ridley,6.9,2019,23,CHI,5,0,6.9,12.9,1.38,2.58,WR
31,Tevin Jones,6.1,2019,27,PIT,5,0,6.1,10.1,1.22,2.02,WR
32,Andre Patton,5.6,2019,25,LAC,13,5,5.6,11.6,0.43,0.89,WR
33,Alexander Hollins,4.6,2019,23,MIN,5,1,4.6,6.6,0.92,1.32,WR
34,Jason Moore,4.3,2019,24,LAC,10,0,4.3,6.3,0.43,0.63,WR
35,C.J. Board,3.1,2019,26,JAX,4,0,3.1,5.1,0.78,1.28,WR
36,Fred Brown,2.1,2019,26,DEN,13,1,2.1,4.1,0.16,0.32,WR
37,Stanley Morgan Jr.,1.8,2019,23,CIN,11,0,1.8,4.8,0.16,0.44,WR
38,Ashton Dulin,1.7,2019,22,IND,13,0,1.7,3.7,0.13,0.28,WR
39,Rashard Davis,1.6,2019,24,TEN,1,0,1.6,2.6,1.6,2.6,WR
40,Gunner Olszewski,1.4,2019,23,NWE,8,0,1.4,3.4,0.18,0.43,WR
41,Cody Hollister,1.3,2019,26,TEN,5,0,1.3,3.3,0.26,0.66,WR
42,Jeff Smith,1.2,2019,22,NYJ,1,0,1.2,2.2,1.2,2.2,WR
43,John Ursua,1.1,2019,25,SEA,3,0,1.1,2.1,0.37,0.7,WR
44,Jaleel Scott,0.6,2019,24,BAL,3,0,0.6,1.6,0.2,0.53,WR
45,Cyril Grayson,0.3,2019,26,TAM,2,0,0.3,1.3,0.15,0.65,WR
46,Darrius Shepherd,-1.9,2019,24,GNB,6,0,-1.9,-0.9,-0.32,-0.15,WR
47,Michael Walker,-2.5,2019,23,JAX,7,0,-2.5,-0.5,-0.36,-0.07,WR
48,Davion Davis,,2019,23,MIN,2,0,,,,,WR
49,Greg Dortch,,2019,21,CAR,2,0,,,,,WR
50,Travis Fulgham,,2019,24,DET,3,0,,,,,WR
51,Jalen Guyton,,2019,22,LAC,3,0,,,,,WR
52,Lil'Jordan Humphrey,,2019,21,NOR,5,1,,,,,WR
53,Trenton Irwin,,2019,24,CIN,1,0,,,,,WR
54,Gary Jennings Jr,,2019,22,MIA,1,0,,,,,WR
55,Tom Kennedy,,2019,23,DET,1,0,,,,,WR
56,Spencer Schnell,,2019,25,TAM,1,0,,,,,WR
57,Nsimba Webster,,2019,23,LAR,5,0,,,,,WR
58,Juwann Winfree,,2019,23,DEN,3,0,,,,,WR
