,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Odell Beckham Jr.,204,2014,22,NYG,12,11,204,295,17,24.58,WR
2,Mike Evans,177.1,2014,21,TAM,15,15,177.1,245.1,11.81,16.34,WR
3,Kelvin Benjamin,152.8,2014,23,CAR,16,15,152.8,225.8,9.55,14.11,WR
4,Jordan Matthews,135.2,2014,22,PHI,16,10,135.2,202.2,8.45,12.64,WR
5,Sammy Watkins,133,2014,21,BUF,16,16,133,198,8.31,12.38,WR
6,Martavis Bryant,104.1,2014,23,PIT,10,3,104.1,130.1,10.41,13.01,WR
7,Allen Hurns,103.7,2014,23,JAX,16,8,103.7,154.7,6.48,9.67,WR
8,John Brown,99,2014,24,ARI,16,5,99,147,6.19,9.19,WR
9,Jarvis Landry,97.4,2014,22,MIA,16,11,97.4,181.4,6.09,11.34,WR
10,Brandin Cooks,86.3,2014,21,NOR,10,7,86.3,139.3,8.63,13.93,WR
11,Taylor Gabriel,69.1,2014,23,CLE,16,2,69.1,105.1,4.32,6.57,WR
12,Allen Robinson,68.8,2014,21,JAX,10,8,68.8,116.8,6.88,11.68,WR
13,Donte Moncrief,64.1,2014,21,IND,16,2,64.1,96.1,4.01,6.01,WR
14,Davante Adams,62.6,2014,22,GNB,16,11,62.6,100.6,3.91,6.29,WR
15,Charles Johnson,60.4,2014,25,MIN,12,6,60.4,91.4,5.03,7.62,WR
16,Corey Brown,55.1,2014,23,CAR,13,3,55.1,76.1,4.24,5.85,WR
17,Marqise Lee,49.1,2014,23,JAX,13,8,49.1,86.1,3.78,6.62,WR
18,Paul Richardson,33.1,2014,22,SEA,15,6,33.1,62.1,2.21,4.14,WR
19,Bruce Ellington,27,2014,23,SFO,13,0,27,33,2.08,2.54,WR
20,Albert Wilson,26,2014,22,KAN,12,2,26,42,2.17,3.5,WR
21,Brenton Bersin,21.1,2014,24,CAR,15,1,21.1,34.1,1.41,2.27,WR
22,Adam Thielen,19.7,2014,24,MIN,16,2,19.7,27.7,1.23,1.73,WR
23,Michael Campanaro,16.2,2014,23,BAL,4,0,16.2,23.2,4.05,5.8,WR
24,Josh Huff,14.5,2014,23,PHI,12,0,14.5,22.5,1.21,1.88,WR
25,James Wright,12.1,2014,23,CIN,11,0,12.1,17.1,1.1,1.55,WR
26,Robert Herron,11.8,2014,22,TAM,8,0,11.8,17.8,1.48,2.23,WR
27,Corey Washington,11.2,2014,23,NYG,14,0,11.2,16.2,0.8,1.16,WR
28,Kevin Norwood,10.2,2014,25,SEA,9,2,10.2,19.2,1.13,2.13,WR
29,Justin Brown,7.4,2014,23,PIT,8,1,7.4,19.4,0.93,2.43,WR
30,Ryan Grant,6.8,2014,24,WAS,16,2,6.8,13.8,0.43,0.86,WR
31,Dri Archer,6.3,2014,23,PIT,12,0,6.3,13.3,0.53,1.11,WR
32,Frankie Hammond,4.5,2014,24,KAN,16,3,4.5,8.5,0.28,0.53,WR
33,Cody Latimer,2.3,2014,22,DEN,8,0,2.3,4.3,0.29,0.54,WR
34,Solomon Patton,1.9,2014,24,TAM,7,0,1.9,1.9,0.27,0.27,WR
35,Devin Street,1.8,2014,23,DAL,16,0,1.8,3.8,0.11,0.24,WR
36,Jeff Janis,1.6,2014,23,GNB,3,0,1.6,3.6,0.53,1.2,WR
37,Tavarres King,1.3,2014,24,TAM,2,0,1.3,3.3,0.65,1.65,WR
38,Jalen Saunders,0.7,2014,22,"NOR,NYJ",9,0,0.7,1.7,0.08,0.19,WR
39,Kevin Dorsey,0.4,2014,24,GNB,3,0,0.4,1.4,0.13,0.47,WR
40,Phil Bates,,2014,25,SEA,1,0,,,,,WR
41,Isaiah Burse,,2014,23,DEN,12,0,,,,,WR
42,Quincy Enunwa,,2014,22,NYJ,1,0,,,,,WR
43,Cobi Hamilton,,2014,24,CIN,0,0,,,,,WR
44,Freddie Martino,,2014,23,ATL,1,0,,,,,WR
45,Chris Matthews,,2014,25,SEA,3,0,,,,,WR
46,Walt Powell,,2014,23,NYJ,4,0,,,,,WR
47,Rico Richardson,,2014,23,TEN,1,0,,,,,WR
48,Gerell Robinson,,2014,25,"CLE,MIA",3,0,,,,,WR
49,Rashad Ross,,2014,24,CHI,2,0,,,,,WR
50,Tommy Streeter,,2014,25,JAX,2,0,,,,,WR
51,Chris Williams,,2014,27,CHI,7,0,,,,,WR
