,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Ja'Marr Chase,223.6,2021,21,CIN,17,17,223.6,304.6,13.15,17.92,WR
2,Jaylen Waddle,141.8,2021,23,MIA,16,16,141.8,245.8,8.86,15.36,WR
3,Amon-Ra St. Brown,137.3,2021,22,DET,17,9,137.3,227.3,8.08,13.37,WR
4,DeVonta Smith,121.6,2021,23,PHI,17,16,121.6,185.6,7.15,10.92,WR
5,Elijah Moore,95.2,2021,21,NYJ,11,6,95.2,138.2,8.65,12.56,WR
6,Josh Palmer,59.9,2021,22,LAC,17,5,59.9,92.9,3.52,5.46,WR
7,Rashod Bateman,57.5,2021,22,BAL,12,4,57.5,103.5,4.79,8.63,WR
8,Rondale Moore,55.1,2021,21,ARI,14,7,55.1,109.1,3.94,7.79,WR
9,Nico Collins,50.6,2021,22,HOU,14,8,50.6,83.6,3.61,5.97,WR
10,Kadarius Toney,43.4,2021,22,NYG,10,4,43.4,82.4,4.34,8.24,WR
11,Antoine Wesley,38.8,2021,24,ARI,15,4,38.8,57.8,2.59,3.85,WR
12,Demetric Felton,32.5,2021,23,CLE,16,2,32.5,50.5,2.03,3.16,WR
13,Ihmir Smith-Marsette,23.6,2021,22,MIN,8,1,23.6,28.6,2.95,3.58,WR
14,Anthony Schwartz,23.4,2021,21,CLE,14,2,23.4,33.4,1.67,2.39,WR
15,D'Wayne Eskridge,18.3,2021,24,SEA,10,0,18.3,28.3,1.83,2.83,WR
16,Dyami Brown,16.1,2021,22,WAS,15,6,16.1,28.1,1.07,1.87,WR
17,Terrace Marshall Jr.,15.8,2021,21,CAR,13,3,15.8,32.8,1.22,2.52,WR
18,Ben Skowronek,13.3,2021,24,LAR,14,1,13.3,24.3,0.95,1.74,WR
19,Dez Fitzpatrick,10.9,2021,24,TEN,4,0,10.9,15.9,2.73,3.98,WR
20,Shi Smith,10.1,2021,23,CAR,6,0,10.1,16.1,1.68,2.68,WR
21,Dax Milne,6.4,2021,22,WAS,13,1,6.4,15.4,0.49,1.18,WR
22,Amari Rodgers,5.6,2021,22,GNB,16,1,5.6,9.6,0.35,0.6,WR
23,Jaelon Darden,5.4,2021,22,TAM,9,0,5.4,11.4,0.6,1.27,WR
24,D.J. Montgomery,3.6,2021,25,NYJ,3,0,3.6,6.6,1.2,2.2,WR
25,Seth Williams,3.4,2021,21,DEN,2,1,3.4,4.4,1.7,2.2,WR
26,Cody White,3.3,2021,23,PIT,15,0,3.3,8.3,0.22,0.55,WR
27,Mike Strachan,2.6,2021,24,IND,6,0,2.6,4.6,0.43,0.77,WR
28,Dazz Newsome,2.3,2021,22,CHI,3,1,2.3,4.3,0.77,1.43,WR
29,Tylan Wallace,2.3,2021,22,BAL,17,1,2.3,4.3,0.14,0.25,WR
30,Frank Darby,1.4,2021,24,ATL,10,0,1.4,2.4,0.14,0.24,WR
31,C.J. Saunders,1.1,2021,25,CAR,2,0,1.1,3.1,0.55,1.55,WR
32,Tarik Black,1,2021,23,NYJ,1,0,1,2,1,2,WR
33,Racey McMath,-1.2,2021,22,TEN,9,0,-1.2,0.8,-0.13,0.09,WR
34,Landen Akers,,2021,24,LAR,2,0,,,,,WR
35,Tutu Atwell,,2021,22,LAR,8,0,,,,,WR
36,Kawaan Baker,,2021,23,NOR,2,0,,,,,WR
37,Jalen Camp,,2021,23,HOU,3,1,,,,,WR
38,Simi Fehoko,,2021,24,DAL,5,0,,,,,WR
39,Aaron Fuller,,2021,24,SEA,1,0,,,,,WR
40,Jacob Harris,,2021,24,LAR,9,0,,,,,WR
41,Myron Mitchell,,2021,23,MIN,1,0,,,,,WR
42,Marquez Stevenson,,2021,23,BUF,5,0,,,,,WR
43,Dillon Stoner,,2021,23,LVR,6,0,,,,,WR
44,Cody Thompson,,2021,25,SEA,5,0,,,,,WR
45,Austin Trammell,,2021,23,ATL,2,0,,,,,WR
46,Jordan Veasy,,2021,26,HOU,2,0,,,,,WR
