,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,JuJu Smith-Schuster,139.7,2017,21,PIT,14,7,139.7,197.7,9.98,14.12,WR
2,Cooper Kupp,114.9,2017,24,LAR,15,6,114.9,176.9,7.66,11.79,WR
3,Keelan Cole,90.8,2017,24,JAX,16,6,90.8,132.8,5.68,8.3,WR
4,Kenny Golladay,66.6,2017,24,DET,11,5,66.6,94.6,6.05,8.6,WR
5,Chris Godwin,58.5,2017,21,TAM,16,2,58.5,92.5,3.66,5.78,WR
6,Trent Taylor,53,2017,23,SFO,15,1,53,96,3.53,6.4,WR
7,Zay Jones,43.6,2017,22,BUF,15,10,43.6,70.6,2.91,4.71,WR
8,Dede Westbrook,39.9,2017,24,JAX,7,5,39.9,66.9,5.7,9.56,WR
9,Ricky Seals-Jones,38.1,2017,22,ARI,10,1,38.1,50.1,3.81,5.01,WR
10,Corey Davis,35.5,2017,22,TEN,11,9,35.5,69.5,3.23,6.32,WR
11,Taywan Taylor,33.4,2017,22,TEN,16,4,33.4,49.4,2.09,3.09,WR
12,Mack Hollins,28.6,2017,24,PHI,16,0,28.6,44.6,1.79,2.79,WR
13,Kendrick Bourne,25.7,2017,22,SFO,11,0,25.7,41.7,2.34,3.79,WR
14,Curtis Samuel,17.9,2017,21,CAR,9,4,17.9,32.9,1.99,3.66,WR
15,Josh Reynolds,16.4,2017,22,LAR,16,1,16.4,27.4,1.03,1.71,WR
16,Josh Malone,12.5,2017,21,CIN,11,7,12.5,18.5,1.14,1.68,WR
17,Hunter Sharp,11.4,2017,23,"DEN,NYG",3,1,11.4,16.4,3.8,5.47,WR
18,ArDarius Stewart,10.9,2017,24,NYJ,15,2,10.9,16.9,0.73,1.13,WR
19,Travis Rudolph,10.1,2017,22,NYG,7,1,10.1,18.1,1.44,2.59,WR
20,Mike Williams,9.5,2017,23,LAC,10,1,9.5,20.5,0.95,2.05,WR
21,Chad Hansen,9.4,2017,22,NYJ,15,1,9.4,18.4,0.63,1.23,WR
22,Ryan Switzer,8.6,2017,23,DAL,16,0,8.6,14.6,0.54,0.91,WR
23,Bobo Wilson,8.6,2017,22,TAM,3,1,8.6,9.6,2.87,3.2,WR
24,Chris Thompson,8.4,2017,23,HOU,13,0,8.4,13.4,0.65,1.03,WR
25,Amara Darboh,7.1,2017,23,SEA,16,0,7.1,15.1,0.44,0.94,WR
26,Chad Williams,6.4,2017,23,ARI,6,1,6.4,9.4,1.07,1.57,WR
27,Michael Clark,4.1,2017,22,GNB,2,0,4.1,8.1,2.05,4.05,WR
28,Bernard Reedy,3.8,2017,26,"NWE,TAM",11,0,3.8,5.8,0.35,0.53,WR
29,Tanner Gentry,3.5,2017,23,CHI,4,3,3.5,6.5,0.88,1.63,WR
30,Noah Brown,3.3,2017,21,DAL,13,1,3.3,7.3,0.25,0.56,WR
31,Jojo Natson,3.3,2017,23,NYJ,7,0,3.3,5.3,0.47,0.76,WR
32,Jordan Leslie,2.6,2017,26,CLE,2,0,2.6,3.6,1.3,1.8,WR
33,Jehu Chesson,1.8,2017,24,KAN,12,1,1.8,3.8,0.15,0.32,WR
34,Darius Powe,1.3,2017,23,NYG,1,1,1.3,3.3,1.3,3.3,WR
35,Shelton Gibson,1.1,2017,23,PHI,5,0,1.1,3.1,0.22,0.62,WR
36,Larry Pinkard,0.5,2017,25,JAX,4,0,0.5,1.5,0.13,0.38,WR
37,Max McCaffrey,0.4,2017,23,JAX,5,0,0.4,1.4,0.08,0.28,WR
38,Isaiah McKenzie,-0.7,2017,22,DEN,11,0,-0.7,3.3,-0.06,0.3,WR
39,John Ross,-0.8,2017,22,CIN,3,1,-0.8,-0.8,-0.27,-0.27,WR
40,Quincy Adeboyejo,,2017,22,BAL,1,0,,,,,WR
41,Jace Billingsley,,2017,24,DET,2,0,,,,,WR
42,Victor Bolden,,2017,22,SFO,9,0,,,,,WR
43,K.J. Brent,,2017,24,IND,5,0,,,,,WR
44,Marquis Bundy,,2017,23,NYG,1,1,,,,,WR
45,Austin Carr,,2017,24,NOR,1,0,,,,,WR
46,Stacy Coley,,2017,23,MIN,4,0,,,,,WR
47,Robert Davis,,2017,22,WAS,1,0,,,,,WR
48,Ed Eagan,,2017,24,NYG,4,0,,,,,WR
49,Mose Frazier,,2017,24,CAR,1,0,,,,,WR
50,Justin Hardee,,2017,23,NOR,14,0,,,,,WR
51,Krishawn Hogan,,2017,22,IND,2,0,,,,,WR
52,Marcus Kemp,,2017,22,KAN,1,0,,,,,WR
53,Lance Lenoir,,2017,22,DAL,1,0,,,,,WR
54,David Moore,,2017,22,SEA,1,0,,,,,WR
55,Isaac Whitney,,2017,23,OAK,2,0,,,,,WR
