,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Reggie Brown,81.6,2005,24,PHI,16,11,81.6,124.6,5.1,7.79,WR
2,Matt Jones,78.8,2005,22,JAX,16,1,78.8,114.8,4.93,7.18,WR
3,Chris Henry,76.2,2005,22,CIN,14,5,76.2,107.2,5.44,7.66,WR
4,Braylon Edwards,69.2,2005,22,CLE,10,7,69.2,101.2,6.92,10.12,WR
5,Mark Clayton,68.4,2005,23,BAL,14,10,68.4,112.4,4.89,8.03,WR
6,Roddy White,61.8,2005,24,ATL,16,8,61.8,90.8,3.86,5.68,WR
7,Troy Williamson,52,2005,22,MIN,14,3,52,76,3.71,5.43,WR
8,Brandon Jones,42,2005,23,TEN,10,8,42,65,4.2,6.5,WR
9,Roydell Williams,41.9,2005,24,TEN,10,2,41.9,62.9,4.19,6.29,WR
10,Mike Williams,37,2005,21,DET,14,4,37,66,2.64,4.71,WR
11,Courtney Roby,36.5,2005,22,TEN,13,6,36.5,57.5,2.81,4.42,WR
12,LeRon McCoy,25.1,2005,23,ARI,10,4,25.1,43.1,2.51,4.31,WR
13,Jerome Mathis,24.5,2005,22,HOU,12,0,24.5,29.5,2.04,2.46,WR
14,Mark Bradley,21,2005,23,CHI,7,4,21,39,3,5.57,WR
15,Roscoe Parrish,18.7,2005,23,BUF,10,1,18.7,33.7,1.87,3.37,WR
16,Tab Perry,15,2005,23,CIN,16,0,15,19,0.94,1.19,WR
17,Todd Devoe,14.7,2005,25,DEN,14,0,14.7,23.7,1.05,1.69,WR
18,Josh Cribbs,6.7,2005,22,CLE,14,0,6.7,7.7,0.48,0.55,WR
19,Vincent Jackson,5.9,2005,22,SDG,8,0,5.9,8.9,0.74,1.11,WR
20,Donovan Morgan,4.2,2005,23,HOU,3,0,4.2,8.2,1.4,2.73,WR
21,Terrence Murphy,3.6,2005,23,GNB,3,0,3.6,8.6,1.2,2.87,WR
22,Bam Childress,3.2,2005,23,NWE,1,0,3.2,6.2,3.2,6.2,WR
23,Dante Ridgeway,2.6,2005,21,NYJ,8,0,2.6,4.6,0.33,0.58,WR
24,Dominique Thompson,1.3,2005,23,STL,2,0,1.3,2.3,0.65,1.15,WR
25,O.J. Small,0.6,2005,23,TEN,2,0,0.6,1.6,0.3,0.8,WR
26,Otis Amey,,2005,24,SFO,11,0,,,,,WR
27,Romby Bryant,,2005,26,ATL,3,0,,,,,WR
28,Carl Ford,,2005,25,CHI,10,0,,,,,WR
29,Carlyle Holiday,,2005,24,ARI,1,0,,,,,WR
30,Jamal Jones,,2005,24,GNB,2,0,,,,,WR
31,Chad Lucas,,2005,24,GNB,1,0,,,,,WR
32,Rasheed Marshall,,2005,24,SFO,12,0,,,,,WR
33,Marcus Maxwell,,2005,22,SFO,4,0,,,,,WR
34,Chad Owens,,2005,23,JAX,1,0,,,,,WR
35,Rich Parson,,2005,25,WAS,1,0,,,,,WR
36,Sloan Thomas,,2005,24,TEN,1,0,,,,,WR
37,Nate Washington,,2005,22,PIT,1,0,,,,,WR
38,Harry Williams,,2005,23,NYJ,1,0,,,,,WR
