,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Calvin Ridley,142.8,2018,24,ATL,16,5,142.8,206.8,8.93,12.93,WR
2,D.J. Moore,102,2018,21,CAR,16,10,102,157,6.38,9.81,WR
3,Courtland Sutton,94.3,2018,23,DEN,16,9,94.3,136.3,5.89,8.52,WR
4,Antonio Callaway,89.3,2018,21,CLE,16,11,89.3,132.3,5.58,8.27,WR
5,Anthony Miller,87.2,2018,24,CHI,15,4,87.2,120.2,5.81,8.01,WR
6,Christian Kirk,80.5,2018,22,ARI,12,7,80.5,123.5,6.71,10.29,WR
7,Dante Pettis,76.5,2018,23,SFO,12,7,76.5,103.5,6.38,8.63,WR
8,Marquez Valdes-Scantling,73,2018,24,GNB,16,10,73,111,4.56,6.94,WR
9,Tre'Quan Smith,72.7,2018,22,NOR,15,7,72.7,100.7,4.85,6.71,WR
10,Robert Foster,72.1,2018,24,BUF,13,3,72.1,99.1,5.55,7.62,WR
11,Michael Gallup,64.7,2018,22,DAL,16,8,64.7,97.7,4.04,6.11,WR
12,DaeSean Hamilton,36.3,2018,23,DEN,14,5,36.3,66.3,2.59,4.74,WR
13,Keke Coutee,34.7,2018,21,HOU,6,2,34.7,62.7,5.78,10.45,WR
14,Equanimeous St. Brown,33.3,2018,22,GNB,12,7,33.3,54.3,2.78,4.53,WR
15,Keith Kirkwood,32.9,2018,24,NOR,8,1,32.9,45.9,4.11,5.74,WR
16,James Washington,27.7,2018,22,PIT,14,6,27.7,43.7,1.98,3.12,WR
17,Trent Sherfield,27,2018,22,ARI,13,2,27,46,2.08,3.54,WR
18,Richie James,23,2018,23,SFO,13,2,23,32,1.77,2.46,WR
19,Marcell Ateman,21.4,2018,24,OAK,7,6,21.4,36.4,3.06,5.2,WR
20,Jake Kumerow,16.3,2018,26,GNB,5,2,16.3,24.3,3.26,4.86,WR
21,DJ Chark,15.4,2018,22,JAX,11,0,15.4,29.4,1.4,2.67,WR
22,Vyncint Smith,15.1,2018,22,HOU,7,1,15.1,20.1,2.16,2.87,WR
23,Damion Ratley,14.4,2018,23,CLE,13,3,14.4,27.4,1.11,2.11,WR
24,Deontay Burnett,14.3,2018,21,NYJ,5,1,14.3,24.3,2.86,4.86,WR
25,Trey Quinn,13.5,2018,23,WAS,3,2,13.5,22.5,4.5,7.5,WR
26,Brandon Powell,13.3,2018,23,DET,6,1,13.3,24.3,2.22,4.05,WR
27,Cameron Batson,8.3,2018,23,TEN,11,2,8.3,16.3,0.75,1.48,WR
28,Russell Gage,6.3,2018,22,ATL,15,0,6.3,12.3,0.42,0.82,WR
29,Derrick Willies,6.1,2018,24,CLE,5,0,6.1,9.1,1.22,1.82,WR
30,Jawill Davis,4,2018,23,NYG,7,0,4,8,0.57,1.14,WR
31,Chad Beebe,3.9,2018,24,MIN,3,0,3.9,7.9,1.3,2.63,WR
32,Jalen Tolliver,3.7,2018,23,ARI,3,1,3.7,6.7,1.23,2.23,WR
33,Auden Tate,3.5,2018,21,CIN,7,0,3.5,7.5,0.5,1.07,WR
34,Javon Wims,3.2,2018,24,CHI,4,0,3.2,7.2,0.8,1.8,WR
35,River Cracraft,2.4,2018,24,DEN,8,0,2.4,3.4,0.3,0.43,WR
36,Gehrig Dieter,2.2,2018,25,KAN,4,0,2.2,3.2,0.55,0.8,WR
37,Ray-Ray McCloud,2,2018,22,BUF,10,1,2,7,0.2,0.7,WR
38,Malik Turner,2,2018,22,SEA,6,0,2,4,0.33,0.67,WR
39,KhaDarel Hodge,1.7,2018,23,LAR,14,0,1.7,3.7,0.12,0.26,WR
40,Tim White,1.4,2018,24,BAL,3,0,1.4,2.4,0.47,0.8,WR
41,Cam Phillips,0.9,2018,23,BUF,2,0,0.9,1.9,0.45,0.95,WR
42,Keon Hatcher,0.8,2018,24,OAK,3,0,0.8,1.8,0.27,0.6,WR
43,Darvin Kidsy,0.8,2018,23,WAS,2,0,0.8,1.8,0.4,0.9,WR
44,Allen Lazard,0.7,2018,23,GNB,1,0,0.7,1.7,0.7,1.7,WR
45,Justin Watson,0.5,2018,22,TAM,12,0,0.5,1.5,0.04,0.13,WR
46,JJ Jones,0.3,2018,26,"NYJ,LAC",4,0,0.3,1.3,0.08,0.33,WR
47,J'Mon Moore,-0.5,2018,23,GNB,12,0,-0.5,1.5,-0.04,0.13,WR
48,Saeed Blacknall,,2018,22,OAK,1,0,,,,,WR
49,Deante Burton,,2018,24,"ATL,HOU",3,0,,,,,WR
50,Steven Dunbar,,2018,23,SFO,1,0,,,,,WR
51,Malachi Dupre,,2018,23,ARI,1,0,,,,,WR
52,Daurice Fountain,,2018,23,IND,1,0,,,,,WR
53,Janarion Grant,,2018,25,BAL,2,0,,,,,WR
54,Quadree Henderson,,2018,22,NYG,5,0,,,,,WR
55,Chris Lacy,,2018,22,DET,1,0,,,,,WR
56,Riley McCarron,,2018,25,NWE,1,0,,,,,WR
57,Steven Mitchell,,2018,24,HOU,1,0,,,,,WR
58,Alonzo Russell,,2018,26,NYG,1,0,,,,,WR
59,Da'Mari Scott,,2018,23,BUF,3,0,,,,,WR
60,Cam Sims,,2018,22,WAS,1,0,,,,,WR
