,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Percy Harvin,140.5,2009,21,MIN,15,8,140.5,200.5,9.37,13.37,WR
2,Hakeem Nicks,115.8,2009,21,NYG,14,6,115.8,162.8,8.27,11.63,WR
3,Mike Wallace,114.4,2009,23,PIT,16,4,114.4,153.4,7.15,9.59,WR
4,Austin Collie,109.7,2009,24,IND,16,5,109.7,169.7,6.86,10.61,WR
5,Jeremy Maclin,100.6,2009,21,PHI,15,13,100.6,156.6,6.71,10.44,WR
6,Kenny Britt,86.1,2009,21,TEN,16,6,86.1,128.1,5.38,8.01,WR
7,Johnny Knox,84.7,2009,23,CHI,15,0,84.7,129.7,5.65,8.65,WR
8,Louis Murphy,79.2,2009,22,OAK,16,9,79.2,113.2,4.95,7.08,WR
9,Mohamed Massaquoi,78.1,2009,23,CLE,16,11,78.1,112.1,4.88,7.01,WR
10,Brian Hartline,77.5,2009,23,MIA,16,2,77.5,108.5,4.84,6.78,WR
11,Michael Crabtree,72.5,2009,22,SFO,11,11,72.5,120.5,6.59,10.95,WR
12,Mike Thomas,57.9,2009,22,JAX,14,4,57.9,105.9,4.14,7.56,WR
13,Sammie Stroughter,45.4,2009,23,TAM,13,0,45.4,76.4,3.49,5.88,WR
14,Julian Edelman,42.4,2009,23,NWE,11,7,42.4,79.4,3.85,7.22,WR
15,Brandon Gibson,38.8,2009,22,"PHI,STL",10,4,38.8,72.8,3.88,7.28,WR
16,Darrius Heyward-Bey,20.3,2009,22,OAK,11,11,20.3,29.3,1.85,2.66,WR
17,Lance Long,17.7,2009,24,"ARI,KAN",8,1,17.7,37.7,2.21,4.71,WR
18,Deon Butler,17.5,2009,23,SEA,16,0,17.5,32.5,1.09,2.03,WR
19,Nate Hughes,13,2009,24,JAX,8,0,13,18,1.63,2.25,WR
20,Jarett Dillard,10.6,2009,24,JAX,7,0,10.6,16.6,1.51,2.37,WR
21,Brian Robiskie,10.6,2009,22,CLE,11,1,10.6,17.6,0.96,1.6,WR
22,Kevin Ogletree,10.2,2009,22,DAL,11,0,10.2,17.2,0.93,1.56,WR
23,Pat White,8.1,2009,23,MIA,13,0,8.1,8.1,0.62,0.62,WR
24,Quan Cosby,5.3,2009,27,CIN,16,0,5.3,9.3,0.33,0.58,WR
25,Quinten Lawrence,5.1,2009,25,KAN,6,1,5.1,6.1,0.85,1.02,WR
26,Kenny Moore,3.9,2009,24,CAR,12,1,3.9,9.9,0.33,0.83,WR
27,Derrick Williams,3.6,2009,23,DET,11,0,3.6,9.6,0.33,0.87,WR
28,Marko Mitchell,3.2,2009,24,WAS,10,0,3.2,7.2,0.32,0.72,WR
29,Ramses Barden,1.6,2009,23,NYG,3,0,1.6,2.6,0.53,0.87,WR
30,Tyler Grisham,1.4,2009,22,PIT,4,0,1.4,2.4,0.35,0.6,WR
31,Brandon Tate,1.1,2009,22,NWE,2,1,1.1,1.1,0.55,0.55,WR
32,Jaymar Johnson,0.9,2009,25,MIN,6,0,0.9,1.9,0.15,0.32,WR
33,Charly Martin,0.6,2009,25,CAR,7,0,0.6,1.6,0.09,0.23,WR
34,Jake Allen,,2009,24,"CLE,GNB",3,0,,,,,WR
35,Dominique Edison,,2009,23,TEN,5,0,,,,,WR
36,Eric Fowler,,2009,25,DET,3,0,,,,,WR
37,Sam Giguere,,2009,24,IND,1,0,,,,,WR
38,Justin Harper,,2009,24,BAL,2,0,,,,,WR
39,Juaquin Iglesias,,2009,22,CHI,1,0,,,,,WR
40,Nate Jones,,2009,24,STL,1,0,,,,,WR
41,Kenny McKinley,,2009,22,DEN,8,0,,,,,WR
42,Jordan Norwood,,2009,23,PHI,1,0,,,,,WR
43,Maurice Purify,,2009,23,CIN,5,0,,,,,WR
44,Patrick Turner,,2009,22,MIA,2,0,,,,,WR
45,Tiquan Underwood,,2009,22,JAX,3,0,,,,,WR
