,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Marques Colston,151.8,2006,23,NOR,14,12,151.8,221.8,10.84,15.84,WR
2,Santonio Holmes,95.7,2006,22,PIT,16,4,95.7,144.7,5.98,9.04,WR
3,Greg Jennings,81.2,2006,23,GNB,14,11,81.2,126.2,5.8,9.01,WR
4,Hank Baskett,56.4,2006,24,PHI,16,5,56.4,78.4,3.53,4.9,WR
5,Demetrius Williams,51.6,2006,23,BAL,16,0,51.6,73.6,3.23,4.6,WR
6,Brandon Marshall,44.1,2006,22,DEN,15,1,44.1,64.1,2.94,4.27,WR
7,Chad Jackson,35.4,2006,21,NWE,12,1,35.4,48.4,2.95,4.03,WR
8,Michael Robinson,28.3,2006,23,SFO,16,0,28.3,37.3,1.77,2.33,WR
9,Derek Hagan,28.1,2006,22,MIA,16,0,28.1,49.1,1.76,3.07,WR
10,John Madsen,20.6,2006,23,OAK,15,1,20.6,31.6,1.37,2.11,WR
11,Brad Smith,16.4,2006,23,NYJ,16,3,16.4,25.4,1.03,1.59,WR/QB
12,Maurice Stovall,13.1,2006,21,TAM,9,2,13.1,20.1,1.46,2.23,WR
13,Jason Avant,10.8,2006,23,PHI,8,3,10.8,17.8,1.35,2.23,WR
14,Sam Hurd,7.5,2006,21,DAL,15,2,7.5,12.5,0.5,0.83,WR
15,Paris Warren,6.3,2006,24,TAM,8,0,6.3,11.3,0.79,1.41,WR
16,Michael Jennings,6.1,2006,27,NYG,8,0,6.1,11.1,0.76,1.39,WR
17,Devale Ellis,4.4,2006,22,DET,9,2,4.4,8.4,0.49,0.93,WR
18,Taye Biddle,3.7,2006,23,CAR,2,0,3.7,6.7,1.85,3.35,WR
19,Martin Nance,3.3,2006,23,MIN,1,1,3.3,7.3,3.3,7.3,WR
20,Travis Wilson,3.2,2006,22,CLE,4,1,3.2,5.2,0.8,1.3,WR
21,Micheal Spurlock,3.1,2006,23,ARI,1,0,3.1,7.1,3.1,7.1,WR
22,David Anderson,2.7,2006,23,HOU,9,0,2.7,3.7,0.3,0.41,WR
23,Sinorice Moss,2.5,2006,23,NYG,6,0,2.5,7.5,0.42,1.25,WR
24,Jeff Webb,2.3,2006,24,KAN,10,0,2.3,5.3,0.23,0.53,WR
25,Chris Francies,1.6,2006,24,GNB,7,0,1.6,3.6,0.23,0.51,WR
26,James Adkisson,0.9,2006,26,OAK,2,0,0.9,1.9,0.45,0.95,WR
27,Will Buchanon,0.9,2006,23,OAK,1,0,0.9,1.9,0.9,1.9,WR
28,Glenn Holt,0.3,2006,22,CIN,11,0,0.3,1.3,0.03,0.12,WR
29,Miles Austin,,2006,22,DAL,9,0,,,,,WR
30,Shaun Bodiford,,2006,24,"DET,GNB",6,0,,,,,WR
31,Jason Carter,,2006,24,MIN,1,0,,,,,WR
32,Brian Clark,,2006,23,DEN,6,0,,,,,WR
33,Airese Currie,,2006,24,CHI,1,0,,,,,WR
34,Mike Espy,,2006,24,WAS,1,0,,,,,WR
35,Skyler Green,,2006,22,DAL,2,0,,,,,WR
36,Adam Jennings,,2006,24,ATL,15,0,,,,,WR
37,Ethan Kilmer,,2006,23,CIN,16,0,,,,,WR
38,Maurice Mann,,2006,24,MIN,1,0,,,,,WR
39,Kendrick Mosley,,2006,25,CLE,1,0,,,,,WR
40,Jamaica Rector,,2006,25,DAL,1,0,,,,,WR
41,Willie Reid,,2006,24,PIT,1,0,,,,,WR
42,Marcus Vick,,2006,22,MIA,1,0,,,,,WR
43,Brandon Williams,,2006,22,SFO,13,0,,,,,WR
44,Wallace Wright,,2006,22,NYJ,5,0,,,,,WR
45,Kevin Youngblood,,2006,26,ATL,1,0,,,,,WR
