,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Eddie Royal,138.9,2008,22,DEN,15,15,138.9,229.9,9.26,15.33,WR
2,DeSean Jackson,118.8,2008,22,PHI,16,15,118.8,180.8,7.43,11.3,WR
3,Donnie Avery,98.3,2008,24,STL,15,12,98.3,151.3,6.55,10.09,WR
4,Davone Bess,60.7,2008,23,MIA,16,6,60.7,114.7,3.79,7.17,WR
5,Harry Douglas,54.9,2008,24,ATL,16,0,54.9,77.9,3.43,4.87,WR
6,Josh Morgan,49.9,2008,23,SFO,12,1,49.9,69.9,4.16,5.83,WR
7,Jordy Nelson,48.6,2008,23,GNB,16,2,48.6,81.6,3.04,5.1,WR
8,Chaz Schilens,34.4,2008,23,OAK,16,6,34.4,49.4,2.15,3.09,WR
9,Keenan Burton,24,2008,24,STL,13,1,24,37,1.85,2.85,WR
10,Devin Thomas,23.3,2008,22,WAS,16,1,23.3,38.3,1.46,2.39,WR
11,Stevie Johnson,22.8,2008,22,BUF,11,1,22.8,32.8,2.07,2.98,WR
12,John Standeford,22.4,2008,26,DET,9,4,22.4,37.4,2.49,4.16,WR
13,James Hardy,20.7,2008,23,BUF,14,3,20.7,29.7,1.48,2.12,WR
14,Syndric Steptoe,16.2,2008,24,CLE,16,5,16.2,35.2,1.01,2.2,WR
15,Andre Caldwell,13.1,2008,23,CIN,7,4,13.1,24.1,1.87,3.44,WR
16,Dominique Zeigler,9.7,2008,24,SFO,8,0,9.7,14.7,1.21,1.84,WR
17,Early Doucet,9,2008,23,ARI,7,0,9,23,1.29,3.29,WR
18,Michael Bumpus,8.8,2008,23,SEA,4,1,8.8,13.8,2.2,3.45,WR
19,Will Franklin,8.3,2008,23,KAN,13,1,8.3,15.3,0.64,1.18,WR
20,Lavelle Hawkins,6.8,2008,22,TEN,13,1,6.8,13.8,0.52,1.06,WR
21,Limas Sweed,4.4,2008,24,PIT,11,0,4.4,10.4,0.4,0.95,WR
22,Logan Payne,3.9,2008,23,SEA,2,2,3.9,6.9,1.95,3.45,WR
23,Brandon London,3,2008,24,MIA,14,1,3,6,0.21,0.43,WR
24,Pierre Garcon,2.3,2008,22,IND,14,0,2.3,6.3,0.16,0.45,WR
25,Malcolm Kelly,1.8,2008,22,WAS,5,0,1.8,4.8,0.36,0.96,WR
26,Steve Sanders,1.8,2008,26,CLE,5,0,1.8,2.8,0.36,0.56,WR
27,Mario Manningham,1.4,2008,22,NYG,7,0,1.4,5.4,0.2,0.77,WR
28,Paul Williams,0.7,2008,25,TEN,5,0,0.7,1.7,0.14,0.34,WR
29,Dallas Baker,0.6,2008,26,PIT,8,0,0.6,1.6,0.08,0.2,WR
30,Jerome Simpson,0.2,2008,22,CIN,6,1,0.2,1.2,0.03,0.2,WR
31,Earl Bennett,,2008,21,CHI,10,0,,,,,WR
32,Jonathan Holland,,2008,23,OAK,3,0,,,,,WR
33,Dexter Jackson,,2008,22,TAM,7,0,,,,,WR
34,Darnell Jenkins,,2008,26,HOU,1,0,,,,,WR
35,Jordan Kent,,2008,24,SEA,9,1,,,,,WR
36,Elbert Mack,,2008,22,TAM,15,0,,,,,WR
37,Darius Reynaud,,2008,24,MIN,3,0,,,,,WR
38,Brandon Rideau,,2008,26,CHI,2,0,,,,,WR
39,Kevin Robinson,,2008,24,KAN,8,0,,,,,WR
40,Matthew Slater,,2008,23,NWE,14,0,,,,,WR
41,Marcus Smith,,2008,23,BAL,7,0,,,,,WR
42,Todd Watkins,,2008,25,OAK,8,0,,,,,WR
43,Ernie Wheelwright,,2008,24,BAL,3,0,,,,,WR
44,D'Juan Woods,,2008,24,JAX,1,0,,,,,WR
